"x";"HAADF";"Co";"Ni";"Ru"
"Position";"Intensity";"Atomic fraction";"Atomic fraction";"Atomic fraction"
"m";"Counts";"mol/mol";"mol/mol";"mol/mol"
1.663423e-08;3.549007e+04;4.082569e-01;4.640876e-01;1.276557e-01
1.672716e-08;3.548920e+04;4.125995e-01;4.681181e-01;1.192823e-01
1.682009e-08;3.548062e+04;4.061466e-01;4.690956e-01;1.247575e-01
1.691301e-08;3.548067e+04;4.070820e-01;4.691429e-01;1.237749e-01
1.700594e-08;3.547582e+04;4.139662e-01;4.621147e-01;1.239185e-01
1.709887e-08;3.547649e+04;4.086593e-01;4.671200e-01;1.242203e-01
1.719180e-08;3.547425e+04;4.116275e-01;4.686973e-01;1.196749e-01
1.728473e-08;3.547637e+04;4.088577e-01;4.649664e-01;1.261756e-01
1.737766e-08;3.548068e+04;4.068703e-01;4.685588e-01;1.245713e-01
1.747059e-08;3.547898e+04;4.087901e-01;4.681689e-01;1.230409e-01
1.756352e-08;3.547560e+04;4.110669e-01;4.638490e-01;1.250841e-01
1.765644e-08;3.547839e+04;4.086712e-01;4.635827e-01;1.277462e-01
1.774937e-08;3.548002e+04;4.077139e-01;4.646875e-01;1.275986e-01
1.784230e-08;3.548068e+04;4.049398e-01;4.639958e-01;1.310645e-01
1.793523e-08;3.548193e+04;4.087067e-01;4.621278e-01;1.291655e-01
1.802816e-08;3.548633e+04;4.071075e-01;4.580238e-01;1.348688e-01
1.812109e-08;3.549265e+04;4.055795e-01;4.629256e-01;1.314942e-01
1.821402e-08;3.549226e+04;4.071234e-01;4.672109e-01;1.256657e-01
1.830694e-08;3.548815e+04;4.073882e-01;4.645233e-01;1.280890e-01
1.839987e-08;3.549706e+04;4.150327e-01;4.618732e-01;1.230939e-01
1.849280e-08;3.550323e+04;4.088038e-01;4.673664e-01;1.238302e-01
1.858573e-08;3.550263e+04;4.144444e-01;4.593863e-01;1.261694e-01
1.867866e-08;3.551171e+04;4.092846e-01;4.584168e-01;1.322986e-01
1.877159e-08;3.552002e+04;4.099873e-01;4.594250e-01;1.305874e-01
1.886452e-08;3.553097e+04;4.105288e-01;4.632741e-01;1.261968e-01
1.895745e-08;3.553581e+04;4.180757e-01;4.604016e-01;1.215220e-01
1.905037e-08;3.554375e+04;4.082291e-01;4.645408e-01;1.272300e-01
1.914330e-08;3.554929e+04;4.063491e-01;4.651354e-01;1.285159e-01
1.923623e-08;3.554911e+04;4.056355e-01;4.670611e-01;1.273034e-01
1.932916e-08;3.555627e+04;4.092934e-01;4.627021e-01;1.280041e-01
1.942209e-08;3.555839e+04;4.114821e-01;4.610772e-01;1.274405e-01
1.951502e-08;3.556660e+04;4.123291e-01;4.580861e-01;1.295846e-01
1.960795e-08;3.557376e+04;4.102851e-01;4.640616e-01;1.256529e-01
1.970087e-08;3.557696e+04;4.071323e-01;4.623835e-01;1.304842e-01
1.979380e-08;3.558736e+04;4.094395e-01;4.607962e-01;1.297641e-01
1.988673e-08;3.558891e+04;4.067249e-01;4.609383e-01;1.323368e-01
1.997966e-08;3.559179e+04;4.064343e-01;4.623047e-01;1.312610e-01
2.007259e-08;3.559175e+04;4.054500e-01;4.679144e-01;1.266354e-01
2.016552e-08;3.559377e+04;4.051495e-01;4.666308e-01;1.282198e-01
2.025845e-08;3.559774e+04;4.064499e-01;4.594558e-01;1.340944e-01
2.035137e-08;3.559372e+04;4.093388e-01;4.617132e-01;1.289477e-01
2.044430e-08;3.559436e+04;4.092248e-01;4.637531e-01;1.270218e-01
2.053723e-08;3.559348e+04;4.101181e-01;4.639059e-01;1.259760e-01
2.063016e-08;3.559179e+04;4.148356e-01;4.595074e-01;1.256570e-01
2.072309e-08;3.559257e+04;4.139212e-01;4.575856e-01;1.284931e-01
2.081602e-08;3.559914e+04;4.087636e-01;4.655243e-01;1.257124e-01
2.090895e-08;3.559946e+04;4.072283e-01;4.672167e-01;1.255554e-01
2.100188e-08;3.560330e+04;4.080966e-01;4.646671e-01;1.272366e-01
2.109480e-08;3.559804e+04;4.132749e-01;4.593748e-01;1.273504e-01
2.118773e-08;3.559436e+04;4.135898e-01;4.605991e-01;1.258107e-01
2.128066e-08;3.560074e+04;4.115289e-01;4.626579e-01;1.258132e-01
2.137359e-08;3.560657e+04;4.105103e-01;4.603191e-01;1.291710e-01
2.146652e-08;3.560847e+04;4.117142e-01;4.605042e-01;1.277815e-01
2.155945e-08;3.560728e+04;4.078137e-01;4.646765e-01;1.275100e-01
2.165238e-08;3.560596e+04;4.135506e-01;4.646018e-01;1.218472e-01
2.174530e-08;3.560811e+04;4.057470e-01;4.651055e-01;1.291477e-01
2.183823e-08;3.561462e+04;4.019210e-01;4.661354e-01;1.319433e-01
2.193116e-08;3.561479e+04;4.098494e-01;4.609638e-01;1.291869e-01
2.202409e-08;3.562229e+04;4.129805e-01;4.644538e-01;1.225650e-01
2.211702e-08;3.562126e+04;4.103795e-01;4.712643e-01;1.183561e-01
2.220995e-08;3.562764e+04;4.105746e-01;4.630369e-01;1.263883e-01
2.230288e-08;3.563141e+04;4.037991e-01;4.662267e-01;1.299738e-01
2.239581e-08;3.562937e+04;4.112003e-01;4.656537e-01;1.231459e-01
2.248873e-08;3.563292e+04;4.105902e-01;4.618964e-01;1.275133e-01
2.258166e-08;3.563817e+04;4.115621e-01;4.598373e-01;1.286007e-01
2.267459e-08;3.563445e+04;4.101066e-01;4.613577e-01;1.285356e-01
2.276752e-08;3.564091e+04;4.091636e-01;4.622568e-01;1.285795e-01
2.286045e-08;3.564235e+04;4.019521e-01;4.732022e-01;1.248454e-01
2.295338e-08;3.564823e+04;4.052860e-01;4.639252e-01;1.307891e-01
2.304631e-08;3.564530e+04;4.029409e-01;4.673351e-01;1.297237e-01
2.313923e-08;3.564405e+04;4.044650e-01;4.598828e-01;1.356518e-01
2.323216e-08;3.565180e+04;4.071206e-01;4.566932e-01;1.361859e-01
2.332509e-08;3.564905e+04;4.136364e-01;4.591976e-01;1.271663e-01
2.341802e-08;3.564638e+04;4.121490e-01;4.603685e-01;1.274823e-01
2.351095e-08;3.564814e+04;4.059471e-01;4.650938e-01;1.289589e-01
2.360388e-08;3.564863e+04;4.075058e-01;4.667098e-01;1.257843e-01
2.369681e-08;3.565046e+04;4.071256e-01;4.691812e-01;1.236928e-01
2.378973e-08;3.564811e+04;4.106425e-01;4.618104e-01;1.275469e-01
2.388266e-08;3.565433e+04;4.072928e-01;4.649345e-01;1.277727e-01
2.397559e-08;3.566037e+04;4.087585e-01;4.612926e-01;1.299493e-01
2.406852e-08;3.565895e+04;4.073925e-01;4.597810e-01;1.328268e-01
2.416145e-08;3.565946e+04;4.059839e-01;4.619229e-01;1.320933e-01
2.425438e-08;3.566484e+04;4.092976e-01;4.607120e-01;1.299912e-01
2.434731e-08;3.567152e+04;4.115704e-01;4.602970e-01;1.281323e-01
2.444024e-08;3.566433e+04;4.095417e-01;4.669393e-01;1.235185e-01
2.453316e-08;3.566930e+04;4.148228e-01;4.607029e-01;1.244741e-01
2.462609e-08;3.566914e+04;4.124965e-01;4.633758e-01;1.241278e-01
2.471902e-08;3.567135e+04;4.035393e-01;4.671310e-01;1.293301e-01
2.481195e-08;3.567351e+04;4.066845e-01;4.629617e-01;1.303539e-01
2.490488e-08;3.567425e+04;4.065196e-01;4.655752e-01;1.279055e-01
2.499781e-08;3.568351e+04;4.076631e-01;4.632044e-01;1.291327e-01
2.509074e-08;3.568250e+04;4.144995e-01;4.582710e-01;1.272293e-01
2.518366e-08;3.567774e+04;4.087021e-01;4.646355e-01;1.266623e-01
2.527659e-08;3.568751e+04;4.119841e-01;4.678556e-01;1.201605e-01
2.536952e-08;3.568739e+04;4.117548e-01;4.603889e-01;1.278567e-01
2.546245e-08;3.568914e+04;4.099869e-01;4.612791e-01;1.287341e-01
2.555538e-08;3.568708e+04;4.122702e-01;4.658864e-01;1.218433e-01
2.564831e-08;3.568975e+04;4.120704e-01;4.676135e-01;1.203160e-01
2.574124e-08;3.569654e+04;4.103521e-01;4.648656e-01;1.247823e-01
2.583417e-08;3.569046e+04;4.121493e-01;4.625134e-01;1.253372e-01
2.592709e-08;3.568666e+04;4.096660e-01;4.632377e-01;1.270963e-01
2.602002e-08;3.569889e+04;4.062362e-01;4.622464e-01;1.315176e-01
2.611295e-08;3.570302e+04;4.039330e-01;4.661832e-01;1.298837e-01
2.620588e-08;3.570189e+04;4.071618e-01;4.650094e-01;1.278292e-01
2.629881e-08;3.570193e+04;4.076724e-01;4.650437e-01;1.272839e-01
2.639174e-08;3.570781e+04;4.089011e-01;4.610713e-01;1.300277e-01
2.648467e-08;3.571553e+04;4.086833e-01;4.599341e-01;1.313831e-01
2.657759e-08;3.571279e+04;4.091662e-01;4.626834e-01;1.281502e-01
2.667052e-08;3.571284e+04;4.077876e-01;4.581198e-01;1.340928e-01
2.676345e-08;3.571800e+04;4.051372e-01;4.659939e-01;1.288688e-01
2.685638e-08;3.572293e+04;4.055657e-01;4.631931e-01;1.312407e-01
2.694931e-08;3.572165e+04;4.103099e-01;4.559978e-01;1.336921e-01
2.704224e-08;3.572471e+04;4.143974e-01;4.586250e-01;1.269774e-01
2.713517e-08;3.573289e+04;4.110478e-01;4.647167e-01;1.242356e-01
2.722810e-08;3.573200e+04;4.107254e-01;4.621607e-01;1.271135e-01
2.732102e-08;3.573100e+04;4.094121e-01;4.639913e-01;1.265969e-01
2.741395e-08;3.574194e+04;4.077737e-01;4.656005e-01;1.266259e-01
2.750688e-08;3.573939e+04;4.109770e-01;4.631735e-01;1.258498e-01
2.759981e-08;3.574038e+04;4.049596e-01;4.634506e-01;1.315894e-01
2.769274e-08;3.574516e+04;4.099061e-01;4.600881e-01;1.300060e-01
2.778567e-08;3.574813e+04;4.104629e-01;4.620100e-01;1.275270e-01
2.787860e-08;3.574644e+04;4.126074e-01;4.586501e-01;1.287424e-01
2.797152e-08;3.574664e+04;4.075563e-01;4.599485e-01;1.324954e-01
2.806445e-08;3.575610e+04;4.064643e-01;4.633364e-01;1.301990e-01
2.815738e-08;3.575942e+04;4.063735e-01;4.642812e-01;1.293450e-01
